Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Plug-in Hybrid,21237,23
2020/07,Plug-in Hybrid,21239,5
2020/07,Plug-in Hybrid,21244,25
2020/07,Plug-in Hybrid,21286,54
2020/07,Plug-in Hybrid,21401,94
2020/07,Plug-in Hybrid,21402,2
2020/07,Plug-in Hybrid,21403,105
2020/07,Plug-in Hybrid,21405,3
2020/07,Plug-in Hybrid,21409,50
2020/07,Plug-in Hybrid,21502,23
2020/07,Plug-in Hybrid,21520,1
2020/07,Plug-in Hybrid,21529,1
2020/07,Plug-in Hybrid,21532,6
2020/07,Plug-in Hybrid,21541,2
2020/07,Plug-in Hybrid,21543,1
2020/07,Plug-in Hybrid,21550,1
2020/07,Plug-in Hybrid,21561,1
2020/07,Plug-in Hybrid,21601,52
2020/07,Plug-in Hybrid,21612,1
2020/07,Plug-in Hybrid,21613,17
2020/07,Plug-in Hybrid,21617,18
2020/07,Plug-in Hybrid,21619,9
2020/07,Plug-in Hybrid,21620,33
2020/07,Plug-in Hybrid,21622,1
2020/07,Plug-in Hybrid,21623,4
2020/07,Plug-in Hybrid,21624,1
2020/07,Plug-in Hybrid,21625,4
2020/07,Plug-in Hybrid,21629,4
2020/07,Plug-in Hybrid,21631,3
2020/07,Plug-in Hybrid,21632,1
2020/07,Plug-in Hybrid,21635,3
2020/07,Plug-in Hybrid,21638,10
2020/07,Plug-in Hybrid,21643,2
2020/07,Plug-in Hybrid,21645,1
2020/07,Plug-in Hybrid,21649,2
2020/07,Plug-in Hybrid,21651,2
2020/07,Plug-in Hybrid,21652,1
2020/07,Plug-in Hybrid,21654,5
2020/07,Plug-in Hybrid,21655,5
2020/07,Plug-in Hybrid,21657,5
2020/07,Plug-in Hybrid,21658,5
2020/07,Plug-in Hybrid,21660,5
2020/07,Plug-in Hybrid,21661,2
2020/07,Plug-in Hybrid,21662,2
2020/07,Plug-in Hybrid,21663,10
2020/07,Plug-in Hybrid,21664,1
2020/07,Plug-in Hybrid,21666,22
2020/07,Plug-in Hybrid,21667,1
2020/07,Plug-in Hybrid,21671,2
2020/07,Plug-in Hybrid,21673,6
2020/07,Plug-in Hybrid,21676,1
2020/07,Plug-in Hybrid,21677,1
2020/07,Plug-in Hybrid,21701,118
2020/07,Plug-in Hybrid,21702,92
2020/07,Plug-in Hybrid,21703,65
2020/07,Plug-in Hybrid,21704,84
2020/07,Plug-in Hybrid,21710,14
2020/07,Plug-in Hybrid,21711,2
2020/07,Plug-in Hybrid,21713,10
2020/07,Plug-in Hybrid,21714,1
2020/07,Plug-in Hybrid,21716,19
2020/07,Plug-in Hybrid,21717,1
2020/07,Plug-in Hybrid,21719,2
2020/07,Plug-in Hybrid,21722,5
2020/07,Plug-in Hybrid,21723,4
2020/07,Plug-in Hybrid,21727,4
2020/07,Plug-in Hybrid,21733,1
2020/07,Plug-in Hybrid,21734,1
2020/07,Plug-in Hybrid,21737,19
2020/07,Plug-in Hybrid,21738,12
2020/07,Plug-in Hybrid,21740,61
2020/07,Plug-in Hybrid,21742,44
2020/07,Plug-in Hybrid,21750,3
2020/07,Plug-in Hybrid,21754,36
2020/07,Plug-in Hybrid,21755,9
2020/07,Plug-in Hybrid,21756,9
2020/07,Plug-in Hybrid,21757,2
2020/07,Plug-in Hybrid,21758,11
2020/07,Plug-in Hybrid,21762,3
2020/07,Plug-in Hybrid,21766,1
2020/07,Plug-in Hybrid,21769,44
2020/07,Plug-in Hybrid,21770,31
2020/07,Plug-in Hybrid,21771,81
2020/07,Plug-in Hybrid,21773,12
2020/07,Plug-in Hybrid,21774,62
2020/07,Plug-in Hybrid,21776,9
2020/07,Plug-in Hybrid,21777,6
2020/07,Plug-in Hybrid,21778,2
2020/07,Plug-in Hybrid,21779,3
2020/07,Plug-in Hybrid,21780,1
2020/07,Plug-in Hybrid,21782,4
2020/07,Plug-in Hybrid,21783,10
2020/07,Plug-in Hybrid,21784,70
2020/07,Plug-in Hybrid,21787,6
2020/07,Plug-in Hybrid,21788,12
2020/07,Plug-in Hybrid,21790,1
2020/07,Plug-in Hybrid,21791,9
2020/07,Plug-in Hybrid,21793,19
2020/07,Plug-in Hybrid,21794,6
2020/07,Plug-in Hybrid,21795,5
2020/07,Plug-in Hybrid,21797,29
2020/07,Plug-in Hybrid,21798,1
2020/07,Plug-in Hybrid,21801,38
2020/07,Plug-in Hybrid,21804,28
2020/07,Plug-in Hybrid,21811,30
2020/07,Plug-in Hybrid,21813,5
2020/07,Plug-in Hybrid,21814,2
2020/07,Plug-in Hybrid,21817,1
2020/07,Plug-in Hybrid,21821,1
2020/07,Plug-in Hybrid,21822,5
2020/07,Plug-in Hybrid,21826,1
2020/07,Plug-in Hybrid,21830,4
2020/07,Plug-in Hybrid,21838,1
2020/07,Plug-in Hybrid,21840,1
2020/07,Plug-in Hybrid,21842,15
2020/07,Plug-in Hybrid,21849,2
2020/07,Plug-in Hybrid,21850,1
2020/07,Plug-in Hybrid,21851,3
2020/07,Plug-in Hybrid,21853,2
2020/07,Plug-in Hybrid,21863,4
2020/07,Plug-in Hybrid,21865,1
2020/07,Plug-in Hybrid,21869,1
2020/07,Plug-in Hybrid,21871,2
2020/07,Plug-in Hybrid,21875,4
2020/07,Plug-in Hybrid,21901,19
2020/07,Plug-in Hybrid,21903,4
2020/07,Plug-in Hybrid,21904,3
2020/07,Plug-in Hybrid,21911,4
2020/07,Plug-in Hybrid,21912,1
2020/07,Plug-in Hybrid,21913,1
2020/07,Plug-in Hybrid,21914,1
2020/07,Plug-in Hybrid,21915,7
2020/07,Plug-in Hybrid,21917,3
2020/07,Plug-in Hybrid,21918,2
2020/07,Plug-in Hybrid,21919,3
2020/07,Plug-in Hybrid,21921,26
2020/07,Plug-in Hybrid,28311,1
2020/07,Plug-in Hybrid,30348,1
2020/07,Plug-in Hybrid,38135,1
2020/07,Plug-in Hybrid,40121,1
2020/07,Plug-in Hybrid,43026,1
2020/07,Plug-in Hybrid,45177,2
2020/07,Plug-in Hybrid,60048,1
